source,target,label,weight,type
doc:66c898f6afe52b69,domain:www.donaana.gov,,1,
doc:66c898f6afe52b69,auth:Doña Ana County,,1,
doc:647cf75d76a2ffbc,domain:donaanaconm.portal.civicclerk.com,,1,
doc:647cf75d76a2ffbc,auth:Doña Ana County,,1,
doc:81844637337b4e01,domain:donaanaconm.portal.civicclerk.com,,1,
doc:81844637337b4e01,auth:Doña Ana County,,1,
doc:7a0999658513a827,domain:sourcenm.com,,1,
doc:ed84df2a7d85cb69,domain:nmelc.org,,1,
doc:ed84df2a7d85cb69,topic:Data Center,,1,
doc:ed84df2a7d85cb69,topic:Litigation,,1,
doc:b9480bfe2b30a856,domain:nmelc.org,,1,
doc:a7a0da732369ebec,domain:www.courthousenews.com,,1,
doc:4d223b8d9e0208e3,domain:www.newsfromthestates.com,,1,
doc:58fcdee1addaa487,domain:kfoxtv.com,,1,
doc:58fcdee1addaa487,topic:Project Jupiter,,1,
doc:58fcdee1addaa487,topic:Litigation,,1,
doc:aef684f1c267b2b2,domain:spectrumlocalnews.com,,1,
doc:aef684f1c267b2b2,topic:Data Center,,1,
doc:262a2015864418ee,domain:www.youtube.com,,1,
doc:e37fbc0a16a00a25,domain:www.youtube.com,,1,
doc:30849253aa21fae6,domain:youtube.com,,1,
doc:c237aabd9b80272b,domain:www.donaana.gov,,1,
doc:c237aabd9b80272b,auth:Doña Ana County,,1,
doc:f3124d924af7356f,domain:www.donaana.gov,,1,
doc:f3124d924af7356f,auth:Doña Ana County,,1,
doc:260886cea585933b,domain:www.donaana.gov,,1,
doc:260886cea585933b,auth:Doña Ana County,,1,
doc:f495b883e696a335,domain:www.donaana.gov,,1,
doc:f495b883e696a335,auth:Doña Ana County,,1,
doc:6e4e2c8ec2ee9ee2,domain:www.donaana.gov,,1,
doc:6e4e2c8ec2ee9ee2,auth:Doña Ana County,,1,
doc:45150d1efb58a54b,domain:www.donaana.gov,,1,
doc:45150d1efb58a54b,auth:Doña Ana County,,1,
doc:71594251c4c79651,domain:www.donaana.gov,,1,
doc:71594251c4c79651,auth:Doña Ana County,,1,
doc:bebda9d259e5c614,domain:www.donaana.gov,,1,
doc:bebda9d259e5c614,auth:Doña Ana County,,1,
doc:bd6a1b773949ec4b,domain:www.donaana.gov,,1,
doc:bd6a1b773949ec4b,auth:Doña Ana County,,1,
doc:492b64e8ef3e9632,domain:www.donaana.gov,,1,
doc:492b64e8ef3e9632,auth:Doña Ana County,,1,
doc:a55fd4527657910d,domain:www.donaana.gov,,1,
doc:a55fd4527657910d,auth:Doña Ana County,,1,
doc:f45138babca483de,domain:www.donaana.gov,,1,
doc:f45138babca483de,auth:Doña Ana County,,1,
doc:e6bb6f49ae430ab7,domain:www.donaana.gov,,1,
doc:e6bb6f49ae430ab7,auth:Doña Ana County,,1,
doc:2232a3cb40fe55b2,domain:www.donaana.gov,,1,
doc:2232a3cb40fe55b2,auth:Doña Ana County,,1,
doc:c7377f32997ca193,domain:www.donaana.gov,,1,
doc:c7377f32997ca193,auth:Doña Ana County,,1,
doc:c8bad1048aa4f27d,domain:www.donaana.gov,,1,
doc:c8bad1048aa4f27d,auth:Doña Ana County,,1,
doc:e3ca2e64de40da23,domain:www.donaana.gov,,1,
doc:e3ca2e64de40da23,auth:Doña Ana County,,1,
doc:776451cb6e77d4da,domain:www.donaana.gov,,1,
doc:776451cb6e77d4da,auth:Doña Ana County,,1,
doc:f15e6abe713aa306,domain:www.donaana.gov,,1,
doc:f15e6abe713aa306,auth:Doña Ana County,,1,
doc:17dff29a64a0d5e2,domain:www.donaana.gov,,1,
doc:17dff29a64a0d5e2,auth:Doña Ana County,,1,
doc:1a2cf8155efb8f1f,domain:jobs.donaana.gov,,1,
doc:1a2cf8155efb8f1f,auth:Doña Ana County,,1,
doc:9e70fd61f29165f6,domain:www.donaana.gov,,1,
doc:9e70fd61f29165f6,auth:Doña Ana County,,1,
doc:f8170ab81b876bd1,domain:www.donaana.gov,,1,
doc:f8170ab81b876bd1,auth:Doña Ana County,,1,
doc:a6f8c418f14dc6d9,domain:www.donaana.gov,,1,
doc:a6f8c418f14dc6d9,auth:Doña Ana County,,1,
doc:e338089a10c1c960,domain:www.donaana.gov,,1,
doc:e338089a10c1c960,auth:Doña Ana County,,1,
doc:0cea73bcda5c1bb8,domain:www.donaana.gov,,1,
doc:0cea73bcda5c1bb8,auth:Doña Ana County,,1,
doc:4410c77050a8d0c8,domain:www.donaana.gov,,1,
doc:4410c77050a8d0c8,auth:Doña Ana County,,1,
doc:8681ae8b5f218419,domain:www.donaana.gov,,1,
doc:8681ae8b5f218419,auth:Doña Ana County,,1,
doc:aca4142fe194abc8,domain:www.donaana.gov,,1,
doc:aca4142fe194abc8,auth:Doña Ana County,,1,
doc:e156384902c608e2,domain:www.donaana.gov,,1,
doc:e156384902c608e2,auth:Doña Ana County,,1,
doc:473f5abe52390e8e,domain:www.donaana.gov,,1,
doc:473f5abe52390e8e,auth:Doña Ana County,,1,
doc:bfb4e90b4d62904d,domain:www.donaana.gov,,1,
doc:bfb4e90b4d62904d,auth:Doña Ana County,,1,
doc:5376fa5d16938645,domain:www.donaana.gov,,1,
doc:5376fa5d16938645,auth:Doña Ana County,,1,
doc:2fa8ae10cc2f3889,domain:www.donaana.gov,,1,
doc:2fa8ae10cc2f3889,auth:Doña Ana County,,1,
doc:8c061fde4402f672,domain:www.donaana.gov,,1,
doc:8c061fde4402f672,auth:Doña Ana County,,1,
doc:88ed906c57bd495f,domain:www.donaana.gov,,1,
doc:88ed906c57bd495f,auth:Doña Ana County,,1,
doc:d38b56b283d0ef0c,domain:www.donaana.gov,,1,
doc:d38b56b283d0ef0c,auth:Doña Ana County,,1,
doc:393b9bd9bfda67d8,domain:www.donaana.gov,,1,
doc:393b9bd9bfda67d8,auth:Doña Ana County,,1,
doc:7a29ff24df20ac08,domain:www.donaana.gov,,1,
doc:7a29ff24df20ac08,auth:Doña Ana County,,1,
doc:9ac6fb3c43369748,domain:www.donaana.gov,,1,
doc:9ac6fb3c43369748,auth:Doña Ana County,,1,
doc:955d3407166449be,domain:www.donaana.gov,,1,
doc:955d3407166449be,auth:Doña Ana County,,1,
doc:37ad357dff959550,domain:www.donaana.gov,,1,
doc:37ad357dff959550,auth:Doña Ana County,,1,
doc:408ea2fc8311073c,domain:www.donaana.gov,,1,
doc:408ea2fc8311073c,auth:Doña Ana County,,1,
doc:d913e304cf5dc58a,domain:www.donaana.gov,,1,
doc:d913e304cf5dc58a,auth:Doña Ana County,,1,
doc:93241a9c8a0e65aa,domain:www.donaana.gov,,1,
doc:93241a9c8a0e65aa,auth:Doña Ana County,,1,
doc:f96ec0729741b0af,domain:www.donaana.gov,,1,
doc:f96ec0729741b0af,auth:Doña Ana County,,1,
doc:4b29e22c1ce1d932,domain:www.donaana.gov,,1,
doc:4b29e22c1ce1d932,auth:Doña Ana County,,1,
doc:f03b57cd1434fbd7,domain:www.donaana.gov,,1,
doc:f03b57cd1434fbd7,auth:Doña Ana County,,1,
doc:1fe416094bd5dd70,domain:www.donaana.gov,,1,
doc:1fe416094bd5dd70,auth:Doña Ana County,,1,
doc:7c6ed2ad5260c159,domain:www.donaana.gov,,1,
doc:7c6ed2ad5260c159,auth:Doña Ana County,,1,
doc:793a02616f9557a2,domain:www.donaana.gov,,1,
doc:793a02616f9557a2,auth:Doña Ana County,,1,
doc:4fdf7b6f4dea09fb,domain:www.donaana.gov,,1,
doc:4fdf7b6f4dea09fb,auth:Doña Ana County,,1,
doc:de5ae55d818df05a,domain:www.donaana.gov,,1,
doc:de5ae55d818df05a,auth:Doña Ana County,,1,
doc:1330eb4d421efbcc,domain:www.donaana.gov,,1,
doc:1330eb4d421efbcc,auth:Doña Ana County,,1,
doc:fb75b4a4a69055a1,domain:www.donaana.gov,,1,
doc:fb75b4a4a69055a1,auth:Doña Ana County,,1,
doc:400074ef58a8776b,domain:www.donaana.gov,,1,
doc:400074ef58a8776b,auth:Doña Ana County,,1,
doc:e82b02f9fe82157a,domain:www.donaana.gov,,1,
doc:e82b02f9fe82157a,auth:Doña Ana County,,1,
doc:cb25193730267b06,domain:www.donaana.gov,,1,
doc:cb25193730267b06,auth:Doña Ana County,,1,
doc:70488d92045bf945,domain:www.donaana.gov,,1,
doc:70488d92045bf945,auth:Doña Ana County,,1,
doc:26fada9e51f2b9a1,domain:www.donaana.gov,,1,
doc:26fada9e51f2b9a1,auth:Doña Ana County,,1,
doc:bb1769601ee7a267,domain:www.donaana.gov,,1,
doc:bb1769601ee7a267,auth:Doña Ana County,,1,
doc:391013053999a464,domain:www.donaana.gov,,1,
doc:391013053999a464,auth:Doña Ana County,,1,
doc:133c6497def5871a,domain:www.donaana.gov,,1,
doc:133c6497def5871a,auth:Doña Ana County,,1,
doc:18c53c6af3926eda,domain:www.donaana.gov,,1,
doc:18c53c6af3926eda,auth:Doña Ana County,,1,
doc:47e9391239bd16a8,domain:www.donaana.gov,,1,
doc:47e9391239bd16a8,auth:Doña Ana County,,1,
doc:ef519eb6991ed0d6,domain:www.donaana.gov,,1,
doc:ef519eb6991ed0d6,auth:Doña Ana County,,1,
doc:e7f0a427a0c3d21a,domain:www.donaana.gov,,1,
doc:e7f0a427a0c3d21a,auth:Doña Ana County,,1,
doc:2e4512ac386c2528,domain:www.donaana.gov,,1,
doc:2e4512ac386c2528,auth:Doña Ana County,,1,
doc:674fbc9da07a2894,domain:www.donaana.gov,,1,
doc:674fbc9da07a2894,auth:Doña Ana County,,1,
doc:3c5654a786f9dc9b,domain:www.donaana.gov,,1,
doc:3c5654a786f9dc9b,auth:Doña Ana County,,1,
doc:2e967723f59ae312,domain:www.donaana.gov,,1,
doc:2e967723f59ae312,auth:Doña Ana County,,1,
doc:b3580fa1086bdd35,domain:www.donaana.gov,,1,
doc:b3580fa1086bdd35,auth:Doña Ana County,,1,
doc:7725a236af10204d,domain:www.donaana.gov,,1,
doc:7725a236af10204d,auth:Doña Ana County,,1,
doc:90f4f2df2345272f,domain:www.donaana.gov,,1,
doc:90f4f2df2345272f,auth:Doña Ana County,,1,
doc:847cb8714ebfe5e8,domain:www.donaana.gov,,1,
doc:847cb8714ebfe5e8,auth:Doña Ana County,,1,
doc:1018711d382e8b91,domain:www.donaana.gov,,1,
doc:1018711d382e8b91,auth:Doña Ana County,,1,
doc:30b94bfe8cad8086,domain:www.donaana.gov,,1,
doc:30b94bfe8cad8086,auth:Doña Ana County,,1,
doc:30137630a4f3f597,domain:www.donaana.gov,,1,
